,asset,latitude,longitude,time,SPEED,HEADING,REASONS,DISTANCE_TRAVELED,ODOMETER,LOADTS,STATUS
191616,185,39.119693,-84.545339,1/30/2018 11:00,34.2,NNE,12,1.7,27934.1,1/30/2018 11:00,8223
191653,185,39.107135,-84.538226,1/30/2018 10:56,19.0,W,7,0.1,27932.4,1/30/2018 10:57,31
191656,185,39.107574,-84.546111,1/30/2018 10:57,31.1,W,12,0.5,27932.8,1/30/2018 10:57,8223
191659,185,39.153359,-84.550561,1/30/2018 11:06,0.0,NNE,12,2.0,27936.6,1/30/2018 11:06,8223
191665,185,39.163958,-84.55236500000001,1/30/2018 11:07,0.0,N,7,-5.8,27930.8,1/30/2018 11:07,31
191676,185,39.134293,-84.545879,1/30/2018 11:02,24.5,NW,7,0.6,27935.2,1/30/2018 11:02,31
191688,185,39.115831,-84.548833,1/30/2018 10:59,28.3,NE,12,1.4,27933.7,1/30/2018 10:59,8223
191699,185,39.107884000000006,-84.551128,1/30/2018 10:57,19.4,W,12,0.8,27933.1,1/30/2018 10:58,8223
191706,185,39.172488,-84.560713,1/30/2018 11:09,31.4,NW,12,-5.0,27931.6,1/30/2018 11:10,8223
191723,185,39.124583,-84.543664,1/30/2018 11:00,23.2,N,12,2.1,27934.4,1/30/2018 11:00,8223
191725,185,39.107338,-84.541884,1/30/2018 10:56,28.7,W,7,0.3,27932.6,1/30/2018 10:57,31
191746,185,39.151379,-84.551,1/30/2018 11:05,33.7,N,12,1.9,27936.4,1/30/2018 11:05,8223
191753,185,39.144016,-84.551047,1/30/2018 11:04,30.4,NNW,7,1.4,27935.9,1/30/2018 11:04,31
191797,185,39.150647,-84.55108299999999,1/30/2018 11:05,33.0,N,7,1.9,27936.4,1/30/2018 11:05,31
191820,185,39.121961,-84.54384,1/30/2018 11:00,33.6,NNE,12,1.9,27934.2,1/30/2018 11:00,8223
191834,185,39.107901,-84.551727,1/30/2018 10:57,14.8,W,7,0.8,27933.1,1/30/2018 10:58,31
191839,185,39.108610999999996,-84.5523,1/30/2018 10:58,27.2,N,7,0.9,27933.2,1/30/2018 10:58,31
191861,185,39.138882,-84.548875,1/30/2018 11:03,29.7,NNW,12,1.0,27935.6,1/30/2018 11:03,8223
191863,185,39.150309,-84.551113,1/30/2018 11:05,33.1,N,12,1.8,27936.4,1/30/2018 11:05,8223
191873,185,39.161786,-84.551343,1/30/2018 11:07,0.0,NNW,9,-5.9,27930.7,1/30/2018 11:07,9247
191876,185,39.116605,-84.548149,1/30/2018 10:59,31.1,NE,12,1.5,27933.8,1/30/2018 10:59,8223
191880,185,39.13185,-84.544629,1/30/2018 11:02,33.4,NNW,12,0.5,27935.0,1/30/2018 11:02,8223
191902,185,39.134568,-84.54701,1/30/2018 11:02,22.5,NWW,7,0.7,27935.2,1/30/2018 11:02,31
191908,185,39.161786,-84.551343,1/30/2018 11:07,0.0,NNW,7,-5.9,27930.7,1/30/2018 11:07,31
191969,185,39.137432000000004,-84.548265,1/30/2018 11:03,14.0,NNW,7,0.9,27935.5,1/30/2018 11:03,31
192034,185,39.107896000000004,-84.551592,1/30/2018 10:57,9.6,W,10,0.8,27933.1,1/30/2018 10:58,9247
192046,185,39.126117,-84.545502,1/30/2018 11:01,16.9,NNW,12,0.0,27934.6,1/30/2018 11:01,8223
192057,185,39.113946999999996,-84.550135,1/30/2018 10:59,28.6,NNE,7,1.3,27933.6,1/30/2018 10:59,31
192063,185,39.155505,-84.550226,1/30/2018 11:06,30.2,N,12,0.2,27936.7,1/30/2018 11:06,8223
192072,185,39.109667,-84.551986,1/30/2018 10:58,28.1,NNE,7,0.9,27933.3,1/30/2018 10:58,31
192086,185,39.163771999999994,-84.55232099999999,1/30/2018 11:07,22.5,NNW,7,-5.8,27930.8,1/30/2018 11:07,31
192108,185,39.107153000000004,-84.53907199999999,1/30/2018 10:56,9.5,W,7,0.1,27932.5,1/30/2018 10:57,31
192120,185,39.107904,-84.551413,1/30/2018 10:57,10.9,W,7,0.8,27933.1,1/30/2018 10:58,31
192121,185,39.162578,-84.551742,1/30/2018 11:07,25.7,NNW,7,-5.8,27930.7,1/30/2018 11:07,31
192123,185,39.107533000000004,-84.544371,1/30/2018 10:56,33.5,W,12,0.4,27932.7,1/30/2018 10:57,8223
192127,185,39.139196000000005,-84.549019,1/30/2018 11:03,23.9,NNW,7,1.0,27935.6,1/30/2018 11:03,31
192133,185,39.154446,-84.55039000000001,1/30/2018 11:06,26.8,N,12,0.1,27936.7,1/30/2018 11:06,8223
192154,185,39.120903999999996,-84.544508,1/30/2018 11:00,33.7,NNE,12,1.8,27934.2,1/30/2018 11:00,8223
192163,185,39.126369,-84.545539,1/30/2018 11:01,19.8,N,7,0.1,27934.6,1/30/2018 11:01,31
192171,185,39.107022,-84.53726,1/30/2018 10:56,17.8,W,7,0.0,27932.4,1/30/2018 10:57,31
192173,185,39.128223999999996,-84.54449,1/30/2018 11:01,27.2,NNE,7,0.2,27934.7,1/30/2018 11:01,31
192198,185,39.170607000000004,-84.559513,1/30/2018 11:09,34.3,NNW,7,-5.1,27931.5,1/30/2018 11:09,31
192210,185,39.113609999999994,-84.550259,1/30/2018 10:59,27.8,NNE,12,1.2,27933.6,1/30/2018 10:59,8223
192221,185,39.176257,-84.562239,1/30/2018 11:10,32.8,N,12,-4.7,27931.9,1/30/2018 11:10,8223
192222,185,39.158491,-84.550079,1/30/2018 11:06,37.0,N,12,-6.1,27930.4,1/30/2018 11:06,8223
192240,185,39.137322,-84.548225,1/30/2018 11:03,7.0,NNW,"12,10",0.9,27935.4,1/30/2018 11:03,9247
192251,185,39.142817,-84.55056,1/30/2018 11:04,27.0,NNW,7,1.3,27935.8,1/30/2018 11:04,31
192270,185,39.108265,-84.552339,1/30/2018 10:58,20.8,N,12,0.8,27933.2,1/30/2018 10:58,8223
192313,185,39.199179,-84.578581,1/30/2018 11:16,0.0,NNW,12,0.0,27931.2,1/30/2018 11:16,8223
192322,185,39.199238,-84.578603,1/30/2018 11:19,0.0,NW,7,0.0,27931.2,1/30/2018 11:19,31
192333,185,39.193313,-84.570808,1/30/2018 11:33,0.0,E,7,0.1,27932.2,1/30/2018 11:33,31
192345,185,39.189611,-84.569396,1/30/2018 11:12,24.2,NNW,12,1.0,27933.0,1/30/2018 11:12,8223
192390,185,39.201499,-84.563348,1/30/2018 11:28,0.0,S,"12,9",0.9,27931.3,1/30/2018 11:28,9247
192401,185,39.188617,-84.56931800000001,1/30/2018 11:12,32.6,N,12,0.9,27932.9,1/30/2018 11:12,8223
192407,185,39.199179,-84.578581,1/30/2018 11:18,0.0,NNW,12,0.0,27931.2,1/30/2018 11:18,8223
192417,185,39.189608,-84.5629,1/30/2018 11:37,26.7,SEE,12,0.5,27932.8,1/30/2018 11:37,8223
192424,185,39.199796,-84.578913,1/30/2018 11:20,13.2,NNW,7,0.0,27931.2,1/30/2018 11:20,31
192432,185,39.200973,-84.579462,1/30/2018 11:20,0.0,SEE,7,0.1,27931.3,1/30/2018 11:20,31
192446,185,39.189009000000006,-84.561463,1/30/2018 11:38,25.5,SEE,7,0.6,27932.8,1/30/2018 11:38,31
192447,185,39.199179,-84.578581,1/30/2018 11:16,0.0,NNW,12,0.0,27931.2,1/30/2018 11:16,8223
192449,185,39.193313,-84.570808,1/30/2018 11:34,0.0,E,7,0.1,27932.2,1/30/2018 11:34,31
192522,185,39.199179,-84.578581,1/30/2018 11:17,0.0,NNW,12,0.0,27931.2,1/30/2018 11:17,8223
192523,185,39.200973,-84.579462,1/30/2018 11:23,0.0,SEE,12,0.0,27931.3,1/30/2018 11:23,8223
192525,185,39.193313,-84.570808,1/30/2018 11:33,0.0,E,7,0.1,27932.2,1/30/2018 11:33,31
192535,185,39.199179,-84.578581,1/30/2018 11:18,0.0,NNW,12,0.0,27931.2,1/30/2018 11:18,8223
192585,185,39.193281,-84.569705,1/30/2018 11:36,18.1,E,7,0.1,27932.3,1/30/2018 11:36,31
192588,185,39.200973,-84.579462,1/30/2018 11:25,0.0,SEE,7,-0.9,27930.4,1/30/2018 11:25,31
192593,185,39.201794,-84.569878,1/30/2018 11:27,31.4,E,12,0.5,27930.9,1/30/2018 11:27,8223
192595,185,39.176307,-84.550639,1/30/2018 11:40,17.6,SE,7,1.8,27934.0,1/30/2018 11:40,31
192622,185,39.193181,-84.571663,1/30/2018 11:31,0.0,N,12,0.0,27932.2,1/30/2018 11:31,8223
192653,185,39.193249,-84.571616,1/30/2018 11:32,9.0,NE,10,0.0,27932.2,1/30/2018 11:32,9247
192654,185,39.199179,-84.578581,1/30/2018 11:16,0.0,NNW,7,0.0,27931.2,1/30/2018 11:16,31
192663,185,39.200464000000004,-84.563692,1/30/2018 11:28,28.5,SSW,12,1.0,27931.4,1/30/2018 11:29,8223
192666,185,39.200973,-84.579462,1/30/2018 11:23,0.0,SEE,7,0.0,27931.3,1/30/2018 11:23,31
192668,185,39.200975,-84.579466,1/30/2018 11:20,0.0,SEE,9,0.1,27931.3,1/30/2018 11:20,9247
192692,185,39.199071999999994,-84.578513,1/30/2018 11:15,6.7,NNW,12,-0.8,27931.2,1/30/2018 11:15,8223
192693,185,39.200973,-84.579462,1/30/2018 11:24,0.0,SEE,7,0.0,27931.3,1/30/2018 11:24,31
192698,185,39.199238,-84.578603,1/30/2018 11:19,0.0,NW,7,0.0,27931.2,1/30/2018 11:19,31
192710,185,39.200951,-84.57919100000001,1/30/2018 11:26,3.7,E,"12,10",0.0,27930.4,1/30/2018 11:26,9247
192738,185,39.194928999999995,-84.574639,1/30/2018 11:14,28.8,NW,7,-1.2,27930.8,1/30/2018 11:14,31
192749,185,39.189984,-84.563611,1/30/2018 11:37,26.8,SE,7,0.5,27932.7,1/30/2018 11:37,31
192762,185,39.187354,-84.569283,1/30/2018 11:12,32.6,N,12,0.8,27932.8,1/30/2018 11:12,8223
192765,185,39.193236999999996,-84.568689,1/30/2018 11:36,19.9,E,7,0.1,27932.3,1/30/2018 11:36,31
